id,title,description,link,image_link,checkout_link_template,availability,price,google_product_category,product_type,brand,gtin,mpn,identifier_exists,condition,item_group_id
811,"Wallet (Orange)","Add a splash of color to your essentials with this stylish Orange Wallet. Crafted from durable, high-quality material, it features multiple card slots, a spacious bill compartment, and a secure zip closure. The vibrant orange hue provides a bold, eye-catching touch, while the sleek design ensures it fits comfortably in your pocket or bag. Perfect for keeping your valuables organized and adding a pop of color to your everyday carry.",https://mcbeans-apparel.local/product/wallet-orange/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=811,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Wallet-Orange.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=811,in_stock,"USD 110.00",166,"Home &gt; Accessories","Halford Brown",27001,27002,yes,New,
809,"T-Shirt for Women (Yellow)","Brighten your look with this cheerful Yellow T-Shirt for Women. Made from soft, lightweight fabric, it offers a comfortable, relaxed fit with a classic crew neckline. The vibrant yellow hue adds a lively touch to any outfit, making it perfect for casual outings, sunny days, or layering under a jacket. Easy to pair with jeans, skirts, or shorts, this t-shirt combines comfort with a fun pop of color.",https://mcbeans-apparel.local/product/t-shirt-for-women-yellow/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=809,https://mcbeans-apparel.local/wp-content/uploads/2024/07/T-Shirt-Women-Yellow.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=809,in_stock,"USD 88.00",212,"Home &gt; Clothing &gt; Tops",Menat,26001,26002,yes,New,
806,"T-Shirt for Men (Red)","Brighten up your casual wardrobe with this vibrant Red T-Shirt for Men. Made from soft, high-quality cotton, it features a classic crew neckline and a comfortable, relaxed fit. The bold red color makes a statement and adds a pop of color to any outfit. Ideal for everyday wear, this t-shirt pairs effortlessly with jeans, shorts, or layered under a jacket, offering both style and comfort.",https://mcbeans-apparel.local/product/t-shirt-for-men-red/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=806,https://mcbeans-apparel.local/wp-content/uploads/2024/07/T-Shirt-Men-Red.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=806,in_stock,"USD 88.00",212,"Home &gt; Clothing &gt; Tops",Menat,25001,25002,yes,New,
804,"T-Shirt for Men (Olive Green)","Add a touch of versatility to your wardrobe with this Olive Green T-Shirt for Men. Crafted from soft, breathable fabric, it offers a relaxed fit with a classic crew neckline. The earthy olive green color provides a unique alternative to basic neutrals, making it easy to pair with jeans, shorts, or layered under a jacket. Perfect for casual wear or relaxed weekends, this t-shirt combines comfort with style.",https://mcbeans-apparel.local/product/t-shirt-for-men-olive-green/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=804,https://mcbeans-apparel.local/wp-content/uploads/2024/07/T-Shirt-Men-Olive-Green.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=804,in_stock,"USD 88.00",212,"Home &gt; Clothing &gt; Tops",Menat,24001,24002,yes,New,
802,"T-Shirt for Men (Black)","Refresh your basics with this essential Black T-Shirt for Men. Made from soft, breathable cotton, it offers a comfortable, relaxed fit thats perfect for everyday wear. The classic crew neckline and versatile black color make it a staple piece that pairs effortlessly with jeans, shorts, or under a jacket. Ideal for casual outings or layering, this t-shirt combines simplicity with style.",https://mcbeans-apparel.local/product/t-shirt-for-men-black/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=802,https://mcbeans-apparel.local/wp-content/uploads/2024/07/T-Shirt-Men-Black.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=802,in_stock,"USD 55.00",212,"Home &gt; Clothing &gt; Tops",Menat,23001,23002,yes,New,
800,"Top Hat","Exude timeless elegance with this classic Top Hat. Crafted from high-quality felt, it features a sleek, cylindrical design with a wide brim and a satin ribbon band. Ideal for formal occasions such as weddings, galas, or theater events, this iconic accessory adds a touch of sophistication to any ensemble. Its adjustable inner band ensures a comfortable fit for a polished and refined look.",https://mcbeans-apparel.local/product/top-hat/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=800,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Top-Hat.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=800,in_stock,"USD 495.00",2020,"Home &gt; Clothing &gt; Headwear",Porpoise,22001,22002,yes,New,
798,Swimsuit,"Dive into summer with this stylish Swimsuit. Designed for comfort and performance, it features a flattering fit with high-quality, quick-drying fabric. Available in various styles such as one-piece, bikini, or tankini, it offers both support and flexibility for all your water activities. Its chic design and vibrant colors ensure you look great by the pool or at the beach.",https://mcbeans-apparel.local/product/798/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=798,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Swimsuit.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=798,in_stock,"USD 110.00",211,"Home &gt; Clothing &gt; Swimwear","Sunwear Deluxe",21001,21002,yes,New,
796,"Sweater for Women (Blue)","Embrace cozy elegance with this Blue Sweater for Women. Made from soft, high-quality fabric, it features a relaxed fit and a classic design with ribbed cuffs and hem. The rich blue color adds a touch of sophistication, making it a versatile piece that pairs well with jeans, skirts, or trousers. Ideal for layering in cooler weather, this sweater combines warmth and style effortlessly.",https://mcbeans-apparel.local/product/sweater-for-women-blue/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=796,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Sweater-Women-Blue.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=796,in_stock,"USD 231.00",203,"Home &gt; Clothing &gt; Outerwear","Oldschool 88",20001,20002,yes,New,
794,"Summer Hat","Stay stylish and protected under the sun with this chic Summer Hat. Made from lightweight, breathable material, it features a wide brim to shield your face and neck from UV rays. The hats adjustable band ensures a comfortable fit, while its versatile design complements any summer outfit. Ideal for beach days, outdoor events, or casual strolls, this hat combines functionality with fashion.",https://mcbeans-apparel.local/product/summer-hat/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=794,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Summer-Hat.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=794,in_stock,"USD 77.00",2020,"Home &gt; Clothing &gt; Headwear",Porpoise,19001,19002,yes,New,
792,"Shorts for Women (Blue)","Elevate your casual wardrobe with these versatile Blue Shorts for Women. Crafted from soft, breathable fabric, they offer a comfortable fit with a flattering, tailored design. Featuring an adjustable waistband and classic side pockets, these shorts are perfect for everyday wear, casual outings, or lounging. Their sleek blue color makes them easy to pair with a variety of tops and accessories.",https://mcbeans-apparel.local/product/shorts-for-women-blue/?utm_source=Google%20Shopping&amp;utm_campaign=UK%20GS%20Fashion&amp;utm_medium=cpc&amp;utm_term=792,https://mcbeans-apparel.local/wp-content/uploads/2024/07/Shorts-Women-Blue.jpg,https://mcbeans-apparel.local/cart/?add-to-cart=792,in_stock,"USD 110.00",204,"Home &gt; Clothing &gt; Bottoms",Bailey,17001,17002,yes,New,
